"Date	ALU.AX	BEN.AX	BKL.AX	BKW.AX	CMW.AX	CQR.AX	FBU.AX	FLT.AX	FXJ.AX	HVN.AX	IAG.AX	IOF.AX	IRE.AX	NCM.AX	NVT.AX	OSH.AX	QAN.AX	SRX.AX	SUL.AX	TNE.AX	TPM.AX"
"28/03/2006	0.220677	5.170583	7.306298	7.225185	0.290917	5.848442	3.94544	6.028187	1.008003	1.723136	2.213367	3.248485	2.375078	17.982203	1.171162	3.358433	2.699324	2.673453	1.104005	0.383874	0.501977"
"29/03/2006	0.227577	5.113231	7.331064	7.169606	0.287036	5.819489	4.132298	5.941992	1.013122	1.746047	2.229672	3.226084	2.336616	17.901888	1.096407	3.332926	2.662352	2.578282	1.104005	0.372747	0.504264"
"30/03/2006	0.213785	5.116822	7.331064	7.225185	0.287036	5.77606	4.030858	6.152091	1.025912	1.732303	2.229672	3.192478	2.346228	18.777218	1.091423	3.358433	2.617978	2.249508	1.108685	0.367184	0.463007"
"3/04/2006	0.213785	5.113231	7.306298	7.225185	0.287036	5.77606	4.068236	6.038961	1.023354	1.764381	2.237824	3.248485	2.456812	18.544312	1.096407	3.358433	2.640165	2.188944	1.104005	0.367184	0.476763"
"4/04/2006	0.24826	5.055841	7.306298	7.503075	0.287036	5.732631	4.004168	6.087444	1.010565	1.746047	2.221519	3.214878	2.52893	19.114544	1.091423	3.468964	2.654956	2.361983	1.127393	0.367184	0.456134"
"5/04/2006	0.24826	5.181357	7.306298	7.391919	0.275403	5.747108	4.100265	6.275994	1.002889	1.764381	2.25413	3.214878	2.572198	18.71306	1.121326	3.511475	2.654956	2.336027	1.132073	0.372747	0.453841"
"6/04/2006	0.24826	5.077352	7.326111	7.391919	0.275403	5.77606	4.148317	6.3568	1.041263	1.750631	2.245977	3.259688	2.548159	19.034225	1.106375	3.579494	2.625374	2.413895	1.118039	0.372747	0.42175"
"7/04/2006	0.24826	5.073798	7.281532	7.336341	0.2851	5.761584	4.228399	6.3568	1.023354	1.727719	2.2419	3.214878	2.548159	18.953911	1.111358	3.519978	2.595791	2.595586	1.122719	0.372747	0.426335"
"10/04/2006	0.24826	5.02	7.281532	7.369687	0.287036	5.703678	4.201703	6.243672	1.008003	1.759798	2.2419	3.214878	2.562581	18.777218	1.101391	3.434954	2.617978	2.509066	1.113359	0.372747	0.418627"
"11/04/2006	0.25171	5.055841	7.256762	6.947293	0.28316	5.645772	4.180351	6.195187	1.015679	1.772806	2.250053	3.136472	2.581814	18.624718	1.111358	3.605001	2.573604	2.465807	1.118039	0.367184	0.406931"
"12/04/2006	0.262059	4.876562	7.231997	6.952849	0.302554	5.602344	4.164331	6.222122	1.005446	1.796073	2.286739	3.091663	2.596237	18.335585	1.131293	3.545484	2.581	2.509066	1.108685	0.372747	0.413948"
"13/04/2006	0.25171	4.715204	7.236949	6.908388	0.306431	5.587866	4.249756	6.195187	1.000332	1.735583	2.266358	3.080459	2.620276	17.869761	1.126309	3.49447	2.551417	2.586934	1.113359	0.372747	0.402252"
"18/04/2006	0.262059	5.012817	7.22209	6.72498	0.298674	5.631297	4.148317	6.200576	0.992656	1.847258	2.282663	3.102867	2.692393	18.359587	1.121326	3.656015	2.507043	2.465807	1.127393	0.367184	0.416287"
"19/04/2006	0.27585	5.016408	7.137882	6.780556	0.314192	5.558916	4.057555	6.189799	0.990095	1.79142	2.286739	3.091663	2.644315	18.857628	1.131293	3.724034	2.544021	2.578282	1.108685	0.372747	0.416287"
"20/04/2006	0.27585	5.02	6.959558	6.908448	0.302554	5.587866	4.025521	6.049735	1.000332	1.71232	2.266358	3.102867	2.702011	18.480154	1.126309	3.775048	2.603187	2.491763	1.122719	0.367184	0.430318"
"21/04/2006	0.27585	4.93036	6.9447	6.908448	0.314192	5.544438	4.148317	5.952766	0.997771	1.754197	2.278586	3.069261	2.716433	17.877792	1.126309	3.732537	2.63277	2.491763	1.169497	0.367184	0.446788"
"24/04/2006	0.268951	4.915994	7.083395	6.829623	0.316128	5.587866	4.132298	5.769605	1.002889	1.735583	2.278586	3.058058	2.774128	17.68504	1.126309	3.826063	2.581	2.448503	1.146108	0.372747	0.427978"
"26/04/2006	0.255159	4.915994	7.023953	6.925339	0.310311	5.57339	4.148317	5.785765	1.020798	1.782113	2.307119	3.058058	2.716433	18.303453	1.146244	3.834564	2.603187	2.448503	1.113359	0.367184	0.420966"
"27/04/2006	0.255159	4.976976	7.103207	6.897187	0.312252	5.587866	4.137641	5.505636	1.008003	1.730929	2.307119	3.058058	2.754894	18.592499	1.131293	3.800555	2.625374	2.500415	1.075936	0.372747	0.425639"
"28/04/2006	0.262059	4.966201	7.256762	6.897187	0.310311	5.587866	4.137641	5.613379	0.997771	1.763503	2.303043	3.080459	2.802973	18.311398	1.131293	3.656015	2.558813	2.500415	1.043193	0.367184	0.416287"
"1/05/2006	0.255159	4.966201	7.22209	6.897187	0.316128	5.645772	4.030858	5.581055	1.010565	1.749543	2.327501	3.080459	2.764511	18.873688	1.14126	3.758044	2.558813	2.422547	1.061902	0.367184	0.420966"
"2/05/2006	0.268951	4.84072	7.132929	6.925339	0.321949	5.57339	4.004168	5.521799	0.995214	1.730929	2.311195	3.069261	2.721244	18.158895	1.14126	3.698527	2.514439	2.206248	1.029158	0.372747	0.406931"
"3/05/2006	0.27585	4.847903	7.167602	6.891556	0.321949	5.529963	4.009506	5.527185	0.995214	1.730929	2.307119	3.046853	2.807784	18.592499	1.126309	3.766545	2.521835	2.30142	1.005769	0.383874	0.411609"
"4/05/2006	0.24826	4.718794	7.167602	6.914078	0.318068	5.544438	4.057555	5.430216	0.987538	1.707666	2.270434	3.035657	2.716433	18.174957	1.121326	3.67302	2.544021	2.292768	1.005769	0.383874	0.404591"
"5/05/2006	0.24826	4.847903	7.132929	6.925339	0.3491	5.587866	4.191026	5.548734	0.995214	1.707666	2.27451	3.046853	2.769323	18.576433	1.121326	3.732537	2.551417	2.223552	0.99641	0.411691	0.378865"
"8/05/2006	0.268951	4.944689	7.182462	7.037944	0.34522	5.616821	4.228399	5.360184	1.002889	1.768157	2.282663	3.046853	2.78855	19.275167	1.121326	3.783551	2.52923	2.137032	1.047867	0.406128	0.374192"
"9/05/2006	0.281458	4.955463	7.137882	7.291312	0.337463	5.703678	4.207047	5.484087	0.997771	1.786767	2.278586	3.080459	2.84144	18.793285	1.121326	3.851571	2.521835	2.12838	1.005769	0.395001	0.381204"
"10/05/2006	0.281458	4.998487	7.132929	7.325092	0.333586	5.674726	4.158993	5.467927	1.008003	1.851911	2.294891	3.058058	2.913557	19.315327	1.121326	3.868575	2.499647	2.145684	1.038513	0.400564	0.371853"
"11/05/2006	0.24826	5.012817	7.132929	7.037944	0.333586	5.660249	4.175013	5.478701	1.01824	1.898442	2.282663	3.080459	2.836629	19.789181	1.106375	3.894082	2.514439	2.119729	1.066581	0.400564	0.346126"
"12/05/2006	0.255159	4.93036	7.132929	7.043575	0.329706	5.631297	4.175013	5.424829	0.997771	1.814683	2.266358	3.069261	2.81259	19.917686	1.121326	3.860071	2.462676	2.119729	1.108685	0.400564	0.364835"
"15/05/2006	0.24826	4.808435	7.157696	7.049207	0.331646	5.558916	4.116283	5.344022	0.990095	1.796073	2.258206	3.002051	2.716433	19.757053	1.08644	3.698527	2.440489	2.119729	1.029158	0.395001	0.369513"
"16/05/2006	0.255159	4.883745	7.113114	7.082987	0.337463	5.602344	4.153656	5.376346	0.992656	1.851911	2.290815	3.024453	2.740472	18.480154	1.051554	3.553987	2.440489	2.076469	1.029158	0.378311	0.360157"
"17/05/2006	0.24826	4.912439	7.202277	7.111141	0.337463	5.544438	4.121622	5.446377	1.005446	1.847258	2.282663	3.046853	2.740472	18.640778	1.036603	3.605001	2.433094	2.093773	1.052547	0.378311	0.364835"
"18/05/2006	0.231019	4.87297	7.132929	7.009793	0.3491	5.50101	4.068236	5.279377	1.002889	1.805381	2.261009	3.024453	2.620276	17.893858	1.03162	3.477466	2.447885	2.119729	1.052547	0.36162	0.387217"
"19/05/2006	0.234469	4.790514	7.113114	6.925339	0.352981	5.428628	4.057555	5.333249	1.013122	1.79142	2.27785	3.035657	2.639509	17.974174	1.021652	3.468964	2.484856	2.111076	1.075936	0.367184	0.37977"
"22/05/2006	0.231019	4.833537	7.093302	6.925339	0.337463	5.3852	4.073574	5.34941	0.995214	1.800727	2.27364	3.024453	2.562581	16.126944	1.021652	3.332926	2.507043	2.033209	1.00109	0.356057	0.350805"
"23/05/2006	0.234469	4.664997	7.083395	6.925339	0.333586	5.34177	4.046879	5.230893	1.002889	1.754197	2.286271	3.046853	2.567391	16.143005	0.996734	3.307418	2.462676	1.946689	1.005769	0.34493	0.332091"
"24/05/2006	0.231019	4.733125	7.068533	6.925339	0.329706	5.240436	4.08425	5.414055	0.987538	1.758851	2.256799	2.979644	2.543352	16.536541	0.996734	3.434954	2.403511	2.093773	1.010444	0.350494	0.315722"
"25/05/2006	0.241765	4.647076	7.068533	6.925339	0.34522	5.269389	4.08425	5.225506	0.977305	1.786767	2.218904	2.923638	2.567391	16.191195	0.996734	3.38394	2.388719	2.102425	1.029158	0.356057	0.308704"
"26/05/2006	0.234469	4.661442	7.132929	6.981641	0.3491	5.327294	4.08425	5.376346	0.992656	1.828643	2.223115	2.912434	2.61547	16.58473	0.984275	3.443456	2.396115	2.041861	1.010444	0.36162	0.3204"
"29/05/2006	0.24826	4.67218	7.10816	6.981641	0.3491	5.414151	4.057555	5.279377	0.990095	1.810034	2.214694	2.990848	2.620276	16.58473	0.996734	3.52848	2.403511	2.033209	1.029158	0.372747	0.352462"
"30/05/2006	0.24826	4.636338	7.083395	7.060466	0.3491	5.486532	4.062892	5.284764	0.972187	1.837951	2.231536	2.968446	2.620276	16.512447	0.996734	3.536982	2.381324	1.98995	1.005769	0.372747	0.3204"
"31/05/2006	0.24826	4.553845	7.058628	6.992901	0.3491	5.443104	4.08425	5.327861	0.956836	1.79142	2.193641	3.002051	2.572198	16.183157	0.996734	3.451958	2.329554	2.119729	1.005769	0.367184	0.329757"
"1/06/2006	0.24826	4.679362	7.03386	6.812731	0.325825	5.486532	4.08425	5.344022	0.974748	1.82399	2.252588	3.069261	2.620276	15.829777	0.996734	3.502973	2.381324	2.076469	0.99641	0.372747	0.357428"
"2/06/2006	0.24826	4.550252	7.028906	6.96475	0.329706	5.50101	4.009506	5.306313	0.977305	1.828643	2.307323	3.069261	2.644315	15.500487	0.951881	3.49447	2.366532	2.033209	0.982375	0.367184	0.350805"
"5/06/2006	0.24826	4.535924	6.969463	6.97601	0.329706	5.645772	4.110945	5.414055	0.954278	1.851911	2.357849	3.091663	2.735667	16.383944	0.946897	3.656015	2.396115	2.007253	0.944952	0.356057	0.350805"
"6/06/2006	0.24826	4.356645	6.914976	6.981641	0.329706	5.602344	4.057555	5.494863	0.946603	1.861214	2.366269	3.024453	2.740472	15.990404	0.946897	3.622007	2.351741	2.015905	0.926243	0.367184	0.346126"
"7/06/2006	0.237918	4.360235	6.959558	6.897187	0.329706	5.645772	4.030858	5.484087	0.967072	1.828643	2.324166	3.069261	2.793361	16.367882	0.946897	3.579494	2.351741	1.946689	0.935597	0.36162	0.348466"
